code,status,used_by,used_at
automate,available,,
carboss,available,,
dreamcar,available,,
newwheels,available,,
carenthusiast,available,,
dealfinder,available,,
vroom,available,,
parkingspot,available,,
speedway,available,,
joyride,available,,
highway,available,,
autopilot,available,,
overdrive,available,,
gearshift,available,,
fullthrottle,available,,
ignition,available,,
keysready,available,,
wheelsdeal,available,,
carquest,available,,
roadtrip,available,,
autodrive,available,,
drivetime,available,,
revup,available,,
fastlane,available,,
turbocharge,available,,
cruisecontrol,available,,
horsepower,used,previous-user@example.com,2025-10-28T04:53:08.292Z
testdrive,available,,